latitud,longitud,price,beds
45.4813458,-73.5834608,459000,1
45.4813458,-73.5834608,224000,2
45.4813803,-73.8554036,424900,3
45.4814766,-73.5744169,625000,4
45.4815246,-73.6661915,1650000,5
45.4815252,-73.5739529,540000,1
45.4815425,-73.9284629,649000,4
45.4815452,-73.5856415,449000,1
45.481654,-73.8539431,490000,2
45.481659,-73.668359,1795000,8
45.4816603,-73.574174,724000,3
45.4816637,-73.6687241,568800,2
45.481686,-73.5693016,1100000,2
45.481686,-73.5693016,679000,1
45.4817401,-73.5919944,1800000,4
45.4818289,-73.8385583,425000,3
45.4818721,-73.8557493,475000,2
45.4822218,-73.5653056,969000,5
45.482425,-73.5681231,1050000,4
45.4824382,-73.81212,749000,5
45.4826279,-73.8256934,1125000,5
45.4826319,-73.5737032,599000,2
45.482732,-73.8634843,449000,3
45.4827748,-73.850122,535000,5
45.4827878,-73.8197685,1750000,6
45.4829471,-73.6694626,1958000,7
45.4830638,-73.8806821,399000,5
45.4830972,-73.8196657,1900000,6
45.4831392,-73.8458936,519000,4
45.4833374,-73.8448664,520000,2
45.4833374,-73.8448664,370000,2
45.4833721,-73.616185,1450000,2
45.4833721,-73.616185,425000,3
45.4836609,-73.6026824,2098000,5
45.4837167,-73.8570576,335000,5
45.4837731,-73.5942474,2600000,5
45.4838426,-73.8445978,675000,3
45.4838426,-73.8445978,575000,3
45.4839945,-73.6493342,1650000,5
45.4840311,-73.5885395,2499000,5
45.4840833,-73.6017859,2095000,4
45.4841164,-73.6085897,2495000,5
45.4843418,-73.842841,1195000,6
45.484367,-73.6149597,1750000,5
45.4844407,-73.8414043,1829000,6
45.4845375,-73.8660659,469000,3
45.4845963,-73.8814538,459000,4
45.4846517,-73.6236526,1425000,5
45.484739,-73.8447706,572800,4
45.4847454,-73.8293137,1100000,5
45.4847933,-73.6137839,2288000,5
45.4847984,-73.5803942,2195000,4
45.4848045,-73.5867126,1799000,2
45.4849093,-73.6004826,10800000,9
45.4849992,-73.8646213,357000,2
45.4850262,-73.6467936,1495000,4
45.4854148,-73.5910006,2995000,6
45.4855553,-73.8641329,599000,3
45.485615,-73.8047427,465000,7
45.485625,-73.5628759,599000,1
45.4856504,-73.6113082,1925000,5
45.4858222,-73.8800101,1999000,2
45.4859114,-73.6099408,2248000,12
45.4859178,-73.6146841,2399000,4
45.4860766,-73.6405706,639000,2
45.4860909,-73.5755841,1388000,2
45.4861286,-73.5620756,580000,2
45.4862345,-73.8426286,999900,2
45.4862511,-73.8735765,559000,2
45.4862873,-73.5965171,2280000,5
45.4863198,-73.6088061,2598000,4
45.4863524,-73.8423968,650000,2
45.4864451,-73.6413885,779000,2
45.4866547,-73.6121098,12500000,7
45.4866876,-73.8336606,1480000,7
45.4868031,-73.6443716,349900,4
45.4868792,-73.8633916,595000,12
45.4869952,-73.6002954,2488000,5
45.4871243,-73.8637787,759000,3
45.4871982,-73.5608934,399217,1
45.487222,-73.5870096,749999,1
